,freq,top_func,optional_func,source,new_info_source,events,gamification,importance
2541,Несколько раз в месяц,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
2542,Несколько раз в неделю,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",3
2543,Очень редко,Участие в акциях и конкурсах,Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
2544,Несколько раз в неделю,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Финансовые челленджи и конкурсы,"Нет, это отвлекает",3
2545,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
2546,Ежедневно,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",2
2547,Ежедневно,Участие в акциях и конкурсах,Финансовые игры и челленджи,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
2548,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Другое,Развлекательные мероприятия с участием банка,Нейтрально,4
2549,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,5
2550,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Telegram,Другое (Онлайн тренинги),"Да, немного интереснее",3
2551,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",3
2552,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Другое (Финансовые блоги),Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
2553,Несколько раз в месяц,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
2554,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",5
2555,Несколько раз в неделю,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
2556,Несколько раз в месяц,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Да, значительно интереснее",2
2557,Несколько раз в месяц,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
2558,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
2559,Несколько раз в месяц,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
2560,Ежедневно,Другое (Инвестиции и сбережения),Личный финансовый аналитик,Рекомендации друзей и знакомых,Telegram,Вебинары и семинары по финансовой грамотности,Другое (Безразлично),2
2561,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2562,Несколько раз в месяц,Проверка баланса,Личный финансовый аналитик,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",5
2563,Ежедневно,Другое (Курсы финансовой грамотности),Личный финансовый аналитик,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,5
2564,Несколько раз в месяц,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",5
2565,Ежедневно,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Telegram,Финансовые челленджи и конкурсы,"Нет, это не влияет",1
2566,Ежедневно,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
2567,Ежедневно,Переводы и платежи,Финансовые игры и челленджи,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Нейтрально,5
2568,Ежедневно,Переводы и платежи,Другое (Финансовые журналы),Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,1
2569,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
2570,Несколько раз в месяц,Проверка баланса,Вебинары и семинары по финансовой грамотности,Мероприятия и акции банка,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
2571,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Другое (Онлайн тренинги),"Нет, это отвлекает",5
2572,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,5
2573,Несколько раз в месяц,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
2574,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
2575,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",5
2576,Несколько раз в неделю,Другое (Финансовые советы и рекомендации),Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Другое,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
2577,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",4
2578,Несколько раз в неделю,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",1
2579,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Социальные сети,Другое (Онлайн тренинги),Нейтрально,4
2580,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Электронная почта,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",5
2581,Несколько раз в неделю,Проверка баланса,Финансовые игры и челленджи,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,Нейтрально,4
2582,Ежедневно,Проверка баланса,Другое (Финансовые журналы),Мероприятия и акции банка,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
2583,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Личный финансовый аналитик,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Нет, это не влияет",3
2584,Ежедневно,Проверка баланса,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Нейтрально,5
2585,Несколько раз в неделю,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Электронная почта,Другое (Онлайн тренинги),"Да, значительно интереснее",5
2586,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
2587,Не использую,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
2588,Очень редко,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Нейтрально,5
2589,Очень редко,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",3
2590,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2591,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
2592,Ежедневно,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
2593,Ежедневно,Другое (Проверка кредитного рейтинга),Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
2594,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Электронная почта,Спортивные мероприятия,Нейтрально,4
2595,Несколько раз в месяц,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Нейтрально,4
2596,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Электронная почта,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
2597,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",4
2598,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Реклама в интернете,Уведомления в мобильном приложении,Спортивные мероприятия,"Да, значительно интереснее",3
2599,Несколько раз в месяц,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2600,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",3
2601,Несколько раз в неделю,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
2602,Ежедневно,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,Другое (Безразлично),3
2603,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Спортивные мероприятия,"Да, значительно интереснее",4
2604,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",5
2605,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Личный финансовый аналитик,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, немного интереснее",4
2606,Несколько раз в месяц,Финансовые консультации,Личный финансовый аналитик,Мероприятия и акции банка,Другое,Другое (Онлайн тренинги),"Да, немного интереснее",4
2607,Ежедневно,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
2608,Несколько раз в неделю,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
2609,Очень редко,Другое (Курсы финансовой грамотности),Финансовые игры и челленджи,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
2610,Несколько раз в месяц,Другое (Финансовые советы и рекомендации),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Спортивные мероприятия,Нейтрально,2
2611,Несколько раз в неделю,Переводы и платежи,Другое (Финансовые журналы),Социальные сети,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
2612,Несколько раз в неделю,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",2
2613,Несколько раз в неделю,Проверка баланса,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Спортивные мероприятия,"Да, немного интереснее",5
2614,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
2615,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
2616,Ежедневно,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Реклама в интернете,Другое,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2617,Несколько раз в неделю,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",3
2618,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
2619,Несколько раз в месяц,Участие в акциях и конкурсах,Финансовые игры и челленджи,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Нет, это отвлекает",4
2620,Ежедневно,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,2
2621,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Финансовые челленджи и конкурсы,Нейтрально,3
2622,Ежедневно,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Социальные сети,Электронная почта,Другое (Онлайн тренинги),"Да, немного интереснее",1
2623,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
2624,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
2625,Несколько раз в неделю,Проверка баланса,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Другое (Онлайн тренинги),Нейтрально,5
2626,Несколько раз в месяц,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2627,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Нейтрально,3
2628,Несколько раз в неделю,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Спортивные мероприятия,"Да, немного интереснее",4
2629,Ежедневно,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Нет, это не влияет",3
2630,Несколько раз в месяц,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",5
2631,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Другое (Финансовые блоги),Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
2632,Несколько раз в месяц,Переводы и платежи,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
2633,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Социальные сети,Встречи с финансовыми экспертами,Другое (Безразлично),3
2634,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Другое,Встречи с финансовыми экспертами,"Да, немного интереснее",5
2635,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Другое (Финансовые блоги),Электронная почта,Финансовые челленджи и конкурсы,Нейтрально,5
2636,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Telegram,Другое (Онлайн тренинги),Нейтрально,3
2637,Несколько раз в неделю,Другое (Проверка кредитного рейтинга),Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2638,Несколько раз в неделю,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
2639,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
2640,Несколько раз в месяц,Другое (Курсы финансовой грамотности),Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,4
2641,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Уведомления в мобильном приложении,Другое (Онлайн тренинги),Нейтрально,4
2642,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
2643,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
2644,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
2645,Несколько раз в неделю,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",4
2646,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",5
2647,Несколько раз в месяц,Другое (Инвестиции и сбережения),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Другое,Встречи с финансовыми экспертами,"Да, немного интереснее",2
2648,Несколько раз в месяц,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,Нейтрально,5
2649,Не использую,Проверка баланса,Личный финансовый аналитик,Мероприятия и акции банка,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
2650,Ежедневно,Проверка баланса,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",4
2651,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Другое,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",4
2652,Несколько раз в неделю,Проверка баланса,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Другое,Спортивные мероприятия,"Нет, это не влияет",3
2653,Ежедневно,Другое (Инвестиции и сбережения),Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
2654,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",5
2655,Несколько раз в месяц,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Нейтрально,4
2656,Несколько раз в неделю,Другое (Инвестиции и сбережения),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",4
2657,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Нет, это не влияет",4
2658,Ежедневно,Другое (Инвестиции и сбережения),Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
2659,Несколько раз в месяц,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
2660,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это отвлекает",4
2661,Несколько раз в месяц,Переводы и платежи,Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
2662,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",4
2663,Несколько раз в месяц,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Другое (Финансовые блоги),Telegram,Встречи с финансовыми экспертами,"Нет, это не влияет",1
2664,Несколько раз в неделю,Переводы и платежи,Личный финансовый аналитик,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Нет, это не влияет",4
2665,Несколько раз в неделю,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,4
2666,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Другое,Развлекательные мероприятия с участием банка,Нейтрально,3
2667,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Другое,Развлекательные мероприятия с участием банка,Нейтрально,5
2668,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",2
2669,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
2670,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Другое,Встречи с финансовыми экспертами,Другое (Безразлично),5
2671,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
2672,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",3
2673,Несколько раз в месяц,Проверка баланса,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Электронная почта,Развлекательные мероприятия с участием банка,Другое (Безразлично),2
2674,Несколько раз в неделю,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Мероприятия и акции банка,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
